p_day,p_month,p_year,a_day,a_month,a_year,type,item,form,duration,state
28,9,2019,17,10,2019,0,5,1,19,34
9,6,2020,1,7,2020,0,5,1,22,34
30,10,2020,1,12,2020,0,5,1,32,34
28,2,2021,1,4,2021,0,5,1,32,34
27,4,2021,9,6,2021,0,5,1,43,53
27,10,2020,16,3,2021,1,5,2,140,53
8,6,2020,29,10,2020,0,5,1,143,32
23,7,2018,31,5,2019,0,5,2,312,16
27,3,2019,5,4,2019,1,4,1,9,35
17,7,2020,2,8,2020,0,4,1,16,5
4,3,2019,21,3,2019,0,4,1,17,48
11,7,2020,30,7,2020,0,4,1,19,8
17,5,2020,11,6,2020,1,4,1,25,8
21,9,2019,17,10,2019,1,4,1,26,48
9,5,2020,5,6,2020,1,4,1,27,51
1,9,2020,30,9,2020,0,4,1,29,8
27,4,2019,3,2,2020,0,4,2,282,42
12,10,2019,24,10,2019,1,3,2,12,37
10,10,2019,1,11,2019,0,3,1,22,51
23,9,2021,27,12,2021,0,3,2,95,2
31,8,2020,2,1,2021,0,3,2,124,29
24,4,2020,17,9,2020,0,3,2,146,9
9,1,2020,5,6,2020,0,3,2,148,51
8,11,2019,24,4,2020,0,3,2,168,26
21,10,2018,21,4,2019,0,3,2,182,17
23,3,2020,2,10,2020,0,3,2,193,26
6,2,2019,28,9,2019,0,3,2,234,4
1,2,2021,6,10,2021,1,3,2,247,41
10,4,2019,16,12,2019,0,3,2,250,8
16,1,2019,26,9,2019,0,3,2,253,8
2,8,2018,21,4,2019,0,3,2,262,13
3,3,2021,29,11,2021,1,3,2,271,13
11,6,2018,19,3,2019,1,3,2,281,51
17,3,2021,27,12,2021,0,3,2,285,2
10,11,2020,27,8,2021,0,3,2,290,12
2,3,2021,27,12,2021,0,3,2,300,2
1,10,2018,30,7,2019,0,3,2,302,42
14,6,2018,15,4,2019,1,3,2,305,44
15,3,2019,15,1,2020,1,3,2,306,44
4,3,2021,2,2,2022,0,3,2,335,2
10,8,2018,20,7,2019,1,3,2,344,39
28,2,2019,14,2,2020,0,3,2,351,24
24,3,2020,27,3,2020,1,0,1,3,48
8,10,2019,15,10,2019,0,0,1,7,29
8,10,2019,15,10,2019,0,0,1,7,29
